word,vector
1694,"[0.020680177956819534,-0.015222564339637756,-0.06641426682472229,0.05341572314500809,0.11905381828546524]"
2116,"[-0.021766621619462967,0.11743099242448807,-0.17386196553707123,-0.09263242781162262,0.021964846178889275]"
1991,"[-0.012140242382884026,0.06822387874126434,0.03883790969848633,-0.03190520778298378,0.09242153912782669]"
136355,"[-0.1467914879322052,-0.02919837273657322,-0.057756319642066956,-0.0698908343911171,-0.033211708068847656]"
134109,"[-0.29016074538230896,0.027370046824216843,-0.2340240776538849,0.06686030328273773,0.001596660353243351]"
26849,"[-0.07509592920541763,0.06176292151212692,-0.13201312720775604,0.011788898147642612,0.09719641506671906]"
103249,"[-0.16161739826202393,0.013717595487833023,-0.12894967198371887,0.039093416184186935,0.03614352270960808]"
5528,"[-0.05489523336291313,-0.14141233265399933,-0.17543791234493256,-0.011943825520575047,0.07008539885282516]"
1397,"[-0.1062859371304512,0.08606672286987305,0.014126664027571678,-0.004973325878381729,0.08601932227611542]"
4915,"[0.04133562743663788,0.022584648802876472,0.04595412313938141,0.04801458120346069,0.07875382900238037]"
7811,"[-0.07188354432582855,-0.021315256133675575,-0.15775127708911896,-0.0422096773982048,0.06493248045444489]"
5764,"[0.04410757124423981,0.032325390726327896,-0.07548031210899353,-0.08953206241130829,0.03304693475365639]"
2747,"[-0.05695706233382225,-0.02130100131034851,-0.10750337690114975,-0.07173379510641098,0.0010309239150956273]"
168418,"[-0.16268610954284668,-0.029326826333999634,-0.30244800448417664,0.026820247992873192,0.08056988567113876]"
5818,"[-0.07547678798437119,-0.10219348967075348,-0.04390043020248413,-0.012635799124836922,-0.0839342251420021]"
3203,"[-0.0398416668176651,-0.0705716609954834,-0.08423693478107452,-0.045060236006975174,0.07852129638195038]"
1695,"[-0.027132205665111542,0.020714204758405685,0.003512355964630842,-0.059147223830223083,0.008150315843522549]"
71530,"[-0.1458524912595749,-0.12842237949371338,0.027210773900151253,-0.0430966354906559,0.026431504637002945]"
39381,"[-0.01906576380133629,-0.11904804408550262,-0.13357439637184143,0.10537541657686234,-0.017869940027594566]"
3763,"[-0.09903023391962051,-0.13946914672851562,-0.017555607482790947,-0.13881079852581024,0.04258802533149719]"
236,"[-0.27644553780555725,0.2230246514081955,0.3723427355289459,-0.175681471824646,-0.23324470221996307]"
161582,"[-0.22601833939552307,-0.13924048840999603,-0.3138214945793152,-0.03484088182449341,0.11035462468862534]"
173355,"[-0.27876707911491394,-0.04119592905044556,-0.37329816818237305,0.08106464147567749,0.07091020047664642]"
385,"[-0.030490543693304062,0.0833381786942482,0.07205162197351456,0.08311419188976288,-0.019342079758644104]"
182731,"[-0.037083160132169724,-0.04456043615937233,-0.14272233843803406,0.11434797942638397,0.06748764961957932]"
188301,"[-0.07520590722560883,-0.05022672191262245,-0.08965734392404556,0.04283576086163521,-0.0001085777985281311]"
188797,"[0.037374600768089294,-0.034123823046684265,0.026551391929388046,-0.029557909816503525,-0.09521100670099258]"
4821,"[0.0771486908197403,-0.09028192609548569,-0.07161068916320801,0.04228570684790611,-0.015025918371975422]"
64499,"[-0.012712045572698116,0.059899650514125824,-0.03212340548634529,0.004879904445260763,0.06220850348472595]"
5109,"[0.05099770426750183,0.02651330828666687,0.1558375507593155,-0.10335986316204071,-0.05726723000407219]"
179511,"[-0.043483298271894455,-0.0938139483332634,-0.04037610441446304,-0.036905400454998016,-0.04087476432323456]"
79224,"[0.03598761558532715,-0.03077578730881214,-0.05690109357237816,-0.04348950833082199,0.08013538271188736]"
138966,"[-0.11879224330186844,-0.04897752404212952,-0.1628492772579193,-0.13714510202407837,-0.04266069084405899]"
45440,"[-0.042458824813365936,0.01793215051293373,-0.06721106171607971,-0.0037074924912303686,-0.024416858330368996]"
3963,"[-0.05553058534860611,0.041517458856105804,0.033576223999261856,0.00602332316339016,0.1087588369846344]"
6873,"[-0.04531802609562874,0.02132275700569153,-0.004916142672300339,0.01527498010545969,0.13838158547878265]"
5420,"[-0.0212607029825449,-0.042503390461206436,0.024557501077651978,0.07149754464626312,-0.055668093264102936]"
72737,"[-0.11603833734989166,-0.14881767332553864,-0.1319413036108017,0.042948734015226364,0.05093049630522728]"
173197,"[-0.0944507047533989,-0.16998416185379028,-0.1417130082845688,0.010228505358099937,0.06734602898359299]"
86298,"[-0.076853908598423,-0.0807652547955513,-0.13271726667881012,0.029731735587120056,-0.01214247290045023]"
2367,"[-0.04006057605147362,0.05763828381896019,0.06129907816648483,0.007991336286067963,-0.022801218554377556]"
132496,"[-0.062213435769081116,-0.08932924270629883,-0.19644546508789062,0.053245291113853455,-0.012937972322106361]"
1729,"[-0.08140965551137924,0.08653218299150467,-0.04418106749653816,0.19712333381175995,-0.307432621717453]"
2378,"[-0.08543768525123596,0.02189805544912815,-0.061826396733522415,-0.06994900852441788,0.006565538235008717]"
1273,"[-0.06875617057085037,0.3109685182571411,-0.2713567316532135,0.323135644197464,-0.2123151272535324]"
2052,"[0.04753071442246437,0.0247140284627676,-0.052674584090709686,0.03033246099948883,0.07845909148454666]"
1769,"[-0.07301013916730881,0.05560554936528206,-0.1263595074415207,0.09470784664154053,0.03173373267054558]"
168632,"[-0.1240428239107132,0.019664524123072624,-0.24597066640853882,0.10177414119243622,0.10785206407308578]"
61394,"[-0.060951247811317444,-0.0256394911557436,-0.0904422402381897,-0.007239747326821089,-0.0817485824227333]"
6552,"[-0.29285290837287903,-0.05126623809337616,-0.4771207273006439,-0.005948829464614391,0.05266334488987923]"
2730,"[-0.14668729901313782,-0.01926388032734394,-0.2252121865749359,0.02486780285835266,0.08694975823163986]"
2471,"[0.008226161822676659,0.028268394991755486,-0.15502512454986572,0.14183452725410461,0.047717656940221786]"
1334,"[0.06045324727892876,0.012371042743325233,-0.11872724443674088,-0.021443307399749756,-0.007401136681437492]"
72701,"[-0.09413580596446991,-0.05852818116545677,0.018471380695700645,0.07878706604242325,0.10336574167013168]"
6183,"[-0.10549318045377731,-0.022552918642759323,-0.12956590950489044,-0.00568807078525424,-0.058551374822854996]"
4357,"[-0.028139624744653702,-0.09702171385288239,-0.08249856531620026,0.05096430703997612,0.03979067876935005]"
7573,"[-0.09128972887992859,0.042474906891584396,-0.026152973994612694,-0.02833770029246807,0.05290181562304497]"
108932,"[-0.2992416322231293,-0.2036243975162506,-0.5034261345863342,0.0485985204577446,0.10385357588529587]"
5589,"[-0.08682075887918472,0.0244600847363472,-0.047493670135736465,0.015673184767365456,-0.03598571568727493]"
904,"[1.0640742778778076,-0.25835251808166504,0.419644296169281,-0.010227384977042675,-0.05820690467953682]"
3161,"[0.020765911787748337,-0.007093103602528572,-0.03177448362112045,0.05110098049044609,-0.04747660830616951]"
175387,"[-0.259650856256485,-0.01716245338320732,-0.32957878708839417,0.1483997255563736,0.021142009645700455]"
5049,"[-0.18798890709877014,-0.17370891571044922,-0.2529450058937073,-0.09436442703008652,0.09095214307308197]"
103810,"[-0.0769629031419754,0.058031436055898666,-0.10235672444105148,-0.03017580136656761,0.028898146003484726]"
273,"[-0.24592404067516327,0.22185343503952026,0.21707528829574585,-0.186306893825531,-0.10776439309120178]"
55442,"[-0.18581727147102356,-0.07682046294212341,-0.311095267534256,-0.09050820022821426,0.10921334475278854]"
88129,"[-0.21924860775470734,-0.21879558265209198,-0.4641681909561157,0.26746469736099243,0.12478426843881607]"
908,"[1.0236495733261108,-0.19994935393333435,0.2797488570213318,0.05260826647281647,-0.19086197018623352]"
84799,"[-0.0585811473429203,0.04252658039331436,-0.0751853808760643,0.04379303753376007,-0.01719238981604576]"
4734,"[0.01597728207707405,-0.07835143059492111,-0.24427199363708496,-0.04424931854009628,0.2057342678308487]"
40278,"[-0.14614084362983704,-0.1526658982038498,-0.38602495193481445,-0.03728926554322243,0.1652790755033493]"
2302,"[-0.04030488058924675,0.12896640598773956,-0.2652184069156647,0.07064209878444672,-0.09486952424049377]"
3586,"[0.029239818453788757,-0.01604442670941353,-0.06778687983751297,0.06171044334769249,-0.07262369245290756]"
45028,"[-0.042027391493320465,-0.0016157012432813644,-0.09659247100353241,-0.12447597831487656,-0.09759046882390976]"
30850,"[-0.05070360749959946,-0.0538085512816906,-0.08557809144258499,-0.030599486082792282,0.06827857345342636]"
57640,"[-0.08115199953317642,0.03069365583360195,-0.3840472996234894,-0.09787850081920624,0.02205079421401024]"
140561,"[-0.1740843951702118,0.04554663598537445,-0.17493724822998047,0.024337725713849068,0.035098619759082794]"
2195,"[-0.03921791538596153,-0.06851329654455185,-0.09934378415346146,0.08051092177629471,-0.05812991037964821]"
650,"[0.06239181011915207,-0.04898388311266899,0.041594065725803375,-0.04328786954283714,0.06230416148900986]"
157775,"[-0.1297180950641632,-0.07216432690620422,-0.2481440305709839,0.14237402379512787,0.0020631542429327965]"
100383,"[0.023435484617948532,-0.03723762184381485,0.020169394090771675,-0.033676475286483765,0.050024040043354034]"
497,"[0.3584398329257965,0.3520527482032776,0.11309909075498581,-0.5012443661689758,-0.4069143831729889]"
6568,"[0.08544572442770004,0.02357548289000988,-0.08365137875080109,0.014760155230760574,0.14905422925949097]"
3445,"[0.022206036373972893,-0.03558146953582764,-0.10430402308702469,0.08647739142179489,0.10969093441963196]"
2336,"[-0.024030355736613274,0.25298362970352173,-0.31370607018470764,0.04545805975794792,-0.07923899590969086]"
492,"[0.15083301067352295,0.09410248696804047,0.11123279482126236,-0.12193280458450317,-0.1368550956249237]"
174053,"[-0.07014252245426178,0.027087386697530746,-0.2712797522544861,0.020426113158464432,0.108640655875206]"
68319,"[-0.13326914608478546,-0.18441729247570038,-0.10362651199102402,-0.0483710877597332,0.08132354170084]"
4600,"[-0.031184092164039612,-0.03319821506738663,-0.09129723161458969,-0.06690685451030731,-0.05942883715033531]"
4889,"[-0.030296768993139267,0.010011058300733566,-0.04643664136528969,0.05626388266682625,0.015572769567370415]"
117881,"[-0.043337382376194,-0.015135769732296467,-0.136741504073143,-0.03675621747970581,0.02047853171825409]"
4147,"[-0.04486898332834244,0.0010247770696878433,0.0280439555644989,0.015747057273983955,-0.05398300290107727]"
3111,"[-0.05395186319947243,-0.024771397933363914,-0.18727529048919678,-0.05601443350315094,0.05543858930468559]"
346,"[0.029655516147613525,0.07138901948928833,-0.05943261459469795,0.004312770441174507,-0.007306771352887154]"
84392,"[-0.08750628679990768,-0.16260796785354614,-0.12668758630752563,0.04326246678829193,0.06938380002975464]"
670,"[0.07460559159517288,-0.02198151871562004,0.01235398929566145,-0.1376107633113861,-0.13292032480239868]"
613,"[-0.019731320440769196,-0.09845349192619324,-0.20096974074840546,0.09731655567884445,0.07926938682794571]"
8949,"[-0.28133299946784973,-0.08737879991531372,-0.33175376057624817,0.0749463364481926,0.18877540528774261]"
45728,"[-0.0961904376745224,0.08091480284929276,-0.21760930120944977,0.04744865000247955,0.16871051490306854]"
8464,"[-0.3469488322734833,-0.00990392453968525,-0.26908934116363525,-0.030661726370453835,0.14250187575817108]"
7419,"[-0.029535099864006042,-0.06602754443883896,-0.047364022582769394,-0.08466582000255585,-0.006173818837851286]"
121372,"[-0.169511079788208,0.11410396546125412,-0.22616130113601685,0.06884296238422394,-0.0975598469376564]"
3150,"[-0.09786544740200043,-0.037421900779008865,-0.042299892753362656,-0.0860462635755539,0.09820015728473663]"
90647,"[-0.1573047637939453,-0.10497027635574341,-0.2551741302013397,-0.0906546488404274,0.1258952021598816]"
280,"[-0.08906202018260956,0.24044033885002136,0.1827940195798874,-0.32945704460144043,-0.14066120982170105]"
2330,"[0.025566603988409042,0.0069594779051840305,0.003835751675069332,-0.08217222988605499,0.05569357052445412]"
32917,"[-0.09357665479183197,-0.049816351383924484,-0.07302273064851761,0.017397459596395493,-0.0771322175860405]"
60516,"[0.03871636837720871,-0.03524114564061165,-0.10971144586801529,-0.0893847718834877,0.05124024301767349]"
109633,"[-0.17411300539970398,-0.05042664706707001,-0.14217495918273926,-0.059977881610393524,0.03019990585744381]"
91488,"[0.040222179144620895,0.00512836966663599,-0.1103362962603569,-0.04649544134736061,-0.048895545303821564]"
122920,"[-0.16384032368659973,-0.15586146712303162,-0.23296494781970978,0.08217808604240417,0.006784484721720219]"
1931,"[-0.14514769613742828,0.03041641041636467,-0.09454454481601715,-0.040885064750909805,-0.15368057787418365]"
5319,"[0.024147097021341324,-0.05893470346927643,-0.07401429116725922,0.042000092566013336,0.2706567049026489]"
3467,"[0.018266091123223305,-0.007863232865929604,-0.09234815090894699,-0.0871562659740448,-0.08928219974040985]"
4993,"[0.12102926522493362,0.1831449270248413,-0.1561369001865387,-0.10826469212770462,0.9022619724273682]"
1442,"[-0.006819349247962236,0.05340847373008728,0.03691169619560242,0.015381194651126862,-0.13214227557182312]"
840,"[0.09173600375652313,-0.03700397163629532,-0.0968557745218277,-0.01898656040430069,0.08085747063159943]"
47646,"[0.047956936061382294,0.08122093230485916,-0.06571485847234726,-0.08703933656215668,-0.0410008579492569]"
2745,"[0.0827973410487175,0.002527327509596944,-0.18084073066711426,-0.052128713577985764,-0.011882628314197063]"
1885,"[-0.1418188512325287,-0.07036002725362778,-0.08278504759073257,0.05422203242778778,-0.034402232617139816]"
172577,"[-0.2476382553577423,-0.12030737102031708,-0.21947742998600006,0.029290035367012024,0.05311436578631401]"
4086,"[-0.005923428572714329,-0.10676819831132889,-0.060052771121263504,0.03530468791723251,0.026826923713088036]"
3696,"[0.04980291426181793,-0.09860304743051529,-0.021143687888979912,0.03138718008995056,0.07738859951496124]"
2770,"[0.020618896931409836,0.07049494236707687,-0.21761932969093323,0.0015425446908921003,-0.031088445335626602]"
6367,"[-0.044050708413124084,-0.03865623474121094,-0.22542142868041992,0.043780919164419174,0.12152807414531708]"
1924,"[0.012192766182124615,0.013213373720645905,0.03899114578962326,-0.056568779051303864,-0.0245052520185709]"
70286,"[-0.450480580329895,-0.30936694145202637,-0.07042563706636429,-0.08835902810096741,0.44954124093055725]"
66203,"[-0.1328577995300293,0.05319134518504143,-0.15176622569561005,-0.07670236378908157,0.07631724327802658]"
919,"[0.910627543926239,-0.2846429944038391,0.2571735680103302,0.12138749659061432,-0.26073744893074036]"
1093,"[0.3975678086280823,0.20187188684940338,0.33907550573349,0.40820884704589844,-0.2791101336479187]"
936,"[0.02700617164373398,-0.01976967044174671,0.0751485750079155,0.02042030543088913,-0.08761736005544662]"
131130,"[-0.15567834675312042,-0.10584970563650131,-0.13967975974082947,0.049903757870197296,0.07428818196058273]"
8533,"[-0.32360053062438965,-0.0016881662886589766,-0.1656610518693924,0.04863821715116501,0.32280662655830383]"
25906,"[-0.08049216866493225,0.11358433216810226,-0.03999197483062744,-0.06764295697212219,-0.006455179303884506]"
107953,"[-0.1175985187292099,-0.12837037444114685,-0.23525407910346985,-0.007835693657398224,0.11383990943431854]"
1373,"[0.09329390525817871,0.1610536426305771,0.00787459034472704,0.0749247670173645,-0.2192186415195465]"
1805,"[-0.11930518597364426,0.05044234171509743,-0.13636833429336548,0.056161683052778244,-0.1296197772026062]"
44193,"[-0.06661122292280197,-0.03566417098045349,-0.1806739866733551,0.07647626101970673,0.05535081773996353]"
129354,"[-0.22433950006961823,-0.013503178022801876,-0.43887650966644287,-0.06903505325317383,0.01785225234925747]"
117364,"[-0.06660289317369461,-0.05968986451625824,-0.26430922746658325,-0.01304426696151495,0.039582036435604095]"
104780,"[-0.12217112630605698,0.023602791130542755,-0.03844866901636124,0.06957220286130905,0.050036706030368805]"
95165,"[-0.09624594449996948,-0.10497239232063293,0.030794821679592133,0.06419475376605988,0.03152602165937424]"
7615,"[0.04949604347348213,-0.06609223037958145,-0.053967468440532684,-0.028826719149947166,-0.03585836663842201]"
8424,"[-0.13899794220924377,-0.06936236470937729,-0.0889807641506195,0.01254872977733612,0.08140411227941513]"
41014,"[-0.06937877833843231,-0.06264876574277878,0.008276499807834625,-0.025191618129611015,-0.038738150149583817]"
5618,"[-0.00555826909840107,0.03195278346538544,-0.46287980675697327,-0.22626878321170807,0.7869106531143188]"
8604,"[-0.006031128112226725,0.08416903764009476,-0.1120070368051529,-0.012100255116820335,0.08957520872354507]"
2007,"[0.012173721566796303,-0.05802937224507332,-0.03926646336913109,0.08605709671974182,0.08422861993312836]"
39427,"[-0.06666646152734756,-0.0865008756518364,-0.08009564131498337,0.013095948845148087,-0.03277444839477539]"
2542,"[0.08965252339839935,0.1966065615415573,-0.5362038016319275,0.5013936758041382,0.16887393593788147]"
668,"[-0.10330599546432495,0.014566509053111076,-0.02168453484773636,-0.003937821369618177,0.05368165671825409]"
78088,"[-0.11893264204263687,-0.02057020366191864,0.03249896317720413,0.022530104964971542,0.12683892250061035]"
156781,"[-0.016682548448443413,0.00227340217679739,-0.20941665768623352,0.12002690881490707,-0.007112424820661545]"
3959,"[-0.004855381790548563,0.0019330427749082446,-0.056131958961486816,-0.08154154568910599,0.00879198033362627]"
454,"[0.26037657260894775,0.6547985076904297,0.16290298104286194,-0.9916715025901794,-0.484416663646698]"
42761,"[-0.0506441667675972,-0.034376200288534164,-0.00024022255092859268,-0.06713079661130905,0.06919557601213455]"
3900,"[0.07162370532751083,0.007752690929919481,0.012101449072360992,0.014665752649307251,-0.01706906035542488]"
3385,"[-0.0873643234372139,-0.018570760264992714,-0.07263752073049545,-0.08405055850744247,0.10944969952106476]"
35957,"[0.028122426941990852,0.021791446954011917,-0.02496406063437462,0.04783032834529877,-0.007240560371428728]"
5829,"[-0.056466151028871536,0.022396046668291092,-0.1382911056280136,0.014345274306833744,-0.026414090767502785]"
5027,"[-0.09663455933332443,-0.0675753727555275,0.0010921061038970947,-0.05680074170231819,0.10996212065219879]"
180231,"[-0.10062657296657562,-0.01128407008945942,-0.10206226259469986,-0.027268534526228905,0.058932263404130936]"
36401,"[-0.10312885791063309,0.03556513786315918,-0.17955109477043152,0.01178094930946827,-0.042649347335100174]"
140162,"[-0.12400868535041809,-0.14027491211891174,-0.1816447675228119,-0.07451899349689484,-0.055844541639089584]"
27731,"[-0.13387304544448853,-0.1048094853758812,-0.10724149644374847,-0.09344425797462463,-0.029851194471120834]"
96084,"[-0.09949231147766113,-0.032240912318229675,-0.06926573067903519,-0.0813479796051979,-0.033090345561504364]"
2709,"[0.11373968422412872,0.0922713652253151,-0.27217337489128113,0.004653136245906353,-0.002657175064086914]"
89837,"[-0.06451033800840378,-0.03329458832740784,0.06733386218547821,-0.009284544736146927,-0.007836418226361275]"
3249,"[0.011651563458144665,-0.01506765279918909,-0.08605726063251495,0.06038413569331169,0.00015595057629980147]"
4263,"[-0.09519581496715546,-0.007668762933462858,-0.20147009193897247,-0.1510903537273407,-0.047577135264873505]"
4214,"[-0.1302626132965088,-0.04031047970056534,-0.0935525894165039,-0.07866311818361282,0.055966269224882126]"
164917,"[-0.2565363645553589,-0.06797264516353607,-0.3715492784976959,-0.08210302889347076,0.06691069900989532]"
2352,"[-0.09582596272230148,0.0663863942027092,-0.28094252943992615,0.051727380603551865,-0.02868049405515194]"
1183,"[0.25051525235176086,0.12568576633930206,0.33101582527160645,0.6510782837867737,-0.44978630542755127]"
5991,"[-0.16478034853935242,-0.02612636238336563,-0.30123263597488403,0.0753679946064949,0.47559481859207153]"
1283,"[0.07460003346204758,0.18214932084083557,-0.1698119193315506,0.3368983864784241,-0.3310663402080536]"
57183,"[-0.1053050309419632,-0.04902186244726181,-0.05606180429458618,0.08101391792297363,0.07426193356513977]"
3871,"[-0.10667699575424194,-0.07140615582466125,-0.09625932574272156,-0.004213214386254549,-0.040536947548389435]"
103339,"[0.0018640216439962387,-0.11088607460260391,-0.19175930321216583,-0.061510518193244934,-0.06620422005653381]"
627,"[0.050634223967790604,-0.014077236875891685,-0.0009777490049600601,-0.012391967698931694,-0.00220656581223011]"
3915,"[0.013750388287007809,-0.13397592306137085,-0.19043788313865662,0.09824266284704208,-0.0036723227240145206]"
2983,"[-0.0801365077495575,-0.0021064095199108124,-0.019434861838817596,0.04074356332421303,0.07382665574550629]"
466,"[0.2355176955461502,0.13225466012954712,0.0690099447965622,-0.13633830845355988,-0.28229475021362305]"
4132,"[-0.018478987738490105,-0.0981493890285492,0.022776274010539055,-0.12563185393810272,-0.014302650466561317]"
32289,"[-0.0727383941411972,0.05147448927164078,-0.2028270810842514,0.025737816467881203,0.02786661684513092]"
175199,"[-0.1569976657629013,-0.08886639773845673,-0.1278693825006485,-0.09077423810958862,-0.04350099712610245]"
54185,"[0.0060680704191327095,-0.003318583592772484,0.004846412688493729,-0.05945383012294769,-0.007039919495582581]"
351,"[-0.10722046345472336,0.084912970662117,0.000184609554708004,-0.040860433131456375,-0.14849695563316345]"
585,"[0.2752823233604431,0.13966809213161469,0.07113582640886307,-0.10809224843978882,-0.0829523429274559]"
2143,"[-0.06963566690683365,-0.0010498687624931335,-0.08685322105884552,-0.04927926883101463,-0.036674872040748596]"
80241,"[-0.1317056119441986,0.027032021433115005,0.037658050656318665,-0.025614921003580093,0.04232645779848099]"
692,"[0.03183545544743538,0.045639146119356155,-0.06092071160674095,-0.0895155668258667,-0.04646759107708931]"
3176,"[0.04183031991124153,-0.0727115273475647,-0.24971799552440643,-0.1081760823726654,0.30378425121307373]"
33660,"[0.02889719232916832,-0.20811668038368225,0.004754333756864071,0.1544373333454132,0.17384418845176697]"
540,"[0.059865765273571014,0.006506358273327351,-0.07348408550024033,0.022469911724328995,-0.02218484878540039]"
407,"[0.032278113067150116,0.020601240918040276,0.04818430542945862,-0.033235419541597366,-0.0015133479610085487]"
3295,"[-0.0004824786155950278,-0.02159372717142105,-0.0782664567232132,0.024049388244748116,-0.07333048433065414]"
2024,"[-0.09147144109010696,-0.027820687741041183,-0.08400558680295944,-0.04074215888977051,0.046075694262981415]"
5723,"[0.024667033925652504,-0.10137195885181427,-0.08609440922737122,-0.10584110766649246,0.008556214161217213]"
3255,"[-0.030275661498308182,-0.20608390867710114,-0.16207800805568695,-0.13166551291942596,0.1394691914319992]"
4442,"[-0.08809837698936462,-0.05054705590009689,-0.05576925724744797,-0.03085109405219555,0.04458111524581909]"
4306,"[0.1139238029718399,0.0029914025217294693,-0.46760615706443787,-0.300015389919281,0.3349890410900116]"
140956,"[-0.09066762775182724,-0.08240792155265808,-0.19260677695274353,-0.05196275934576988,0.02973751723766327]"
4654,"[-0.009113872423768044,0.005373149644583464,0.002342500723898411,-0.053416214883327484,0.09124641865491867]"
74727,"[-0.027259018272161484,0.01596938446164131,-0.15487591922283173,-0.04090490564703941,-0.011478804051876068]"
948,"[-0.0603850819170475,-0.06561916321516037,-0.15732325613498688,0.12220171093940735,-0.07353977113962173]"
1301,"[0.013443881645798683,0.16783182322978973,-0.1883002370595932,0.34086206555366516,-0.09941234439611435]"
53322,"[0.09417130053043365,-0.11933964490890503,-0.2219533622264862,0.09610442072153091,0.1575959026813507]"
866,"[0.481168657541275,-0.11265100538730621,0.07776567339897156,-0.08738745003938675,-0.09162041544914246]"
6808,"[-0.015162918716669083,-0.04785405471920967,-0.158113494515419,-0.11749878525733948,0.08907528221607208]"
59022,"[-0.0761416107416153,-0.041277237236499786,-0.10489562153816223,0.01735999993979931,0.11982903629541397]"
1683,"[-0.1577177196741104,0.10491074621677399,-0.1091575026512146,-0.014548836275935173,-0.03882594406604767]"
76093,"[-0.3024108409881592,-0.1173553317785263,-0.25283268094062805,0.08419137448072433,0.26575809717178345]"
2028,"[0.07246673852205276,0.10501351207494736,-0.24312253296375275,0.08016950637102127,-0.17827273905277252]"
5712,"[-0.1567945033311844,-0.0448652021586895,-0.07129240036010742,0.0228543933480978,0.015290457755327225]"
3787,"[-0.11456560343503952,0.03123350441455841,-0.005909043829888105,0.01799882762134075,-0.01579315960407257]"
4187,"[-0.1863611340522766,-0.11123185604810715,-0.16313782334327698,-0.031104281544685364,0.11096504330635071]"
262,"[-0.10798440128564835,0.44030284881591797,0.27968332171440125,-0.3536263108253479,-0.28391510248184204]"
70862,"[-0.1004217118024826,0.036183856427669525,-0.09029553830623627,0.007935363799333572,0.08602792024612427]"
103048,"[-0.07276580482721329,0.05652569234371185,0.013985851779580116,-0.027040153741836548,-0.014803295955061913]"
2749,"[-0.10043597221374512,-0.03375474363565445,-0.05679308995604515,-0.08397140353918076,0.040669430047273636]"
7840,"[0.07895226031541824,0.0169268436729908,-0.05930854007601738,0.05439642071723938,0.1039452850818634]"
58559,"[-0.1116369292140007,0.14750969409942627,-0.39888375997543335,-0.02656215988099575,0.7814695835113525]"
1658,"[-0.04509525001049042,0.11115674674510956,-0.13304582238197327,-0.11124163120985031,-0.0005628932267427444]"
7078,"[-0.1250639408826828,-0.08560875058174133,-0.07979971915483475,0.016969578340649605,0.10104215890169144]"
2313,"[-0.012670876458287239,0.0737990289926529,-0.19116878509521484,0.11586260795593262,-0.04966147616505623]"
3937,"[0.036873023957014084,0.008291387930512428,-0.05103486031293869,-0.021997518837451935,0.006018485873937607]"
104303,"[-0.04913924261927605,-0.013405057601630688,-0.004287266172468662,0.008902981877326965,-0.06944377720355988]"
1129,"[0.4605400264263153,0.19289293885231018,0.3337708115577698,0.6100844144821167,-0.29004159569740295]"
1150,"[0.04416581988334656,0.030892301350831985,-0.06241382658481598,0.1128535345196724,-0.07493146508932114]"
3015,"[-0.03887580335140228,0.019652528688311577,-0.03763001784682274,0.06638491153717041,-0.06377910077571869]"
102666,"[-0.13214673101902008,-0.13173648715019226,-0.2081560641527176,0.02663005143404007,0.11249729245901108]"
134853,"[-0.4072931408882141,-0.36944183707237244,-0.5705730319023132,0.06395182013511658,0.1092776358127594]"
105653,"[-0.0921202152967453,-0.10830973088741302,-0.1264512687921524,0.01785983331501484,-0.028848379850387573]"
2769,"[-0.015250683762133121,0.05913049727678299,0.004083984065800905,0.04933548346161842,0.0997481495141983]"
186,"[-0.1400555521249771,0.15988555550575256,0.04516587778925896,-0.14573557674884796,-0.16817525029182434]"
6220,"[-0.12049992382526398,-0.13106361031532288,-0.03045574575662613,-0.10056412220001221,-0.07908289134502411]"
4223,"[-0.054463665932416916,-0.08104646950960159,-0.3143421411514282,-0.1210557222366333,0.07788515090942383]"
1777,"[-0.21807289123535156,0.1382085531949997,-0.024669382721185684,0.19995461404323578,-0.1758931279182434]"
4452,"[-0.024709641933441162,0.06610353291034698,0.07090957462787628,0.07837320119142532,-0.04013433679938316]"
37384,"[-0.1685122847557068,-0.04571070894598961,-0.24784941971302032,0.03046690858900547,0.04347493499517441]"
1957,"[-0.12787896394729614,0.028087502345442772,-0.08553612232208252,0.1122879683971405,-0.031142931431531906]"
2500,"[0.05208539590239525,0.03563188761472702,0.051522500813007355,-0.0643046647310257,0.08275999873876572]"
26159,"[-0.10714413970708847,0.02323216199874878,0.046179451048374176,-0.07417367398738861,0.08665498346090317]"
97304,"[-0.3166443109512329,-0.2331686168909073,-0.42002832889556885,0.2472277283668518,-0.03777225688099861]"
183317,"[-0.07063570618629456,-0.045453090220689774,-0.013549369759857655,-0.04259374737739563,-0.0355234332382679]"
2325,"[0.018105365335941315,0.009604379534721375,-0.304097980260849,0.08470981568098068,-0.06032254174351692]"
4068,"[-0.015789788216352463,0.00170137919485569,-0.10500490665435791,-0.034033339470624924,0.08131321519613266]"
121097,"[-0.10463812202215195,0.06198127940297127,-0.05384533852338791,-0.03530406579375267,0.10471390932798386]"
1243,"[0.11366474628448486,0.3071151673793793,-0.09608852863311768,0.21576426923274994,-0.3628859221935272]"
54771,"[-0.024107253178954124,0.01147121749818325,0.026763474568724632,-0.05948023498058319,-0.09262430667877197]"
2140,"[0.0727490559220314,-0.13827915489673615,-0.21880309283733368,-0.07985235005617142,0.03656863421201706]"
6944,"[-0.16871102154254913,-0.1463809758424759,-0.03978925943374634,0.008594904094934464,0.22799040377140045]"
179819,"[-0.1391751915216446,-0.07595840841531754,-0.3906160891056061,0.00827267486602068,0.020117448642849922]"
